"county","fips","candidate","state","votes","total","pct","Women","White","Citizen","IncomePerCap","Poverty","ChildPoverty","Professional","Service","Office","Production","Drive","Carpool","Transit","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","SelfEmployed","FamilyWork","Unemployment","Minority"
"autauga",1001,"Donald Trump","alabama",18172,24759,0.733955329375177,51.5673385125224,75.7882273048297,73.7491171836801,24974.4997012006,12.9123051013202,18.7075804494667,32.7909744481266,17.1704442150631,24.2824287861502,17.157132250412,87.5062367577552,8.78123539957625,0.0952590499990945,1.30596874377501,1.83565310298618,26.5001647923797,43.4363738432843,73.7364897412216,5.43325365350139,0,7.73372629977726,22.5368700313287
"autauga",1001,"Hillary Clinton","alabama",5936,24759,0.239751201583263,51.5673385125224,75.7882273048297,73.7491171836801,24974.4997012006,12.9123051013202,18.7075804494667,32.7909744481266,17.1704442150631,24.2824287861502,17.157132250412,87.5062367577552,8.78123539957625,0.0952590499990945,1.30596874377501,1.83565310298618,26.5001647923797,43.4363738432843,73.7364897412216,5.43325365350139,0,7.73372629977726,22.5368700313287
"baldwin",1003,"Donald Trump","alabama",72883,94261,0.773204188370588,51.1513368627672,83.1026163252546,75.6940565085255,27316.8351586964,13.4242300931217,19.4843051234875,32.7299434709744,17.9509207107385,27.1043880463917,11.3218572065539,84.5986075307117,8.95907770050379,0.126620917276972,1.443800001025,3.85047739607731,26.3221785456204,44.0511272492453,81.282655377945,5.90935317059671,0.363326858718436,7.58982016287329,15.2142598695169
"baldwin",1003,"Hillary Clinton","alabama",18458,94261,0.195817994716797,51.1513368627672,83.1026163252546,75.6940565085255,27316.8351586964,13.4242300931217,19.4843051234875,32.7299434709744,17.9509207107385,27.1043880463917,11.3218572065539,84.5986075307117,8.95907770050379,0.126620917276972,1.443800001025,3.85047739607731,26.3221785456204,44.0511272492453,81.282655377945,5.90935317059671,0.363326858718436,7.58982016287329,15.2142598695169
"barbour",1005,"Donald Trump","alabama",5454,10436,0.522614028363358,46.1718401901084,46.2315943858607,76.9122233773949,16824.2164339819,26.5056289915342,43.5596205257686,26.1240420317838,16.4634338333581,23.2787761770385,23.317410515372,83.3302057032526,11.0566092380811,0.495403237784049,1.62172508540027,1.50194564087331,24.518283083321,31.9211347096391,71.5942559037576,7.14983662557552,0.0897742462498143,17.5255569582653,51.9438177632556
"barbour",1005,"Hillary Clinton","alabama",4871,10436,0.466749712533538,46.1718401901084,46.2315943858607,76.9122233773949,16824.2164339819,26.5056289915342,43.5596205257686,26.1240420317838,16.4634338333581,23.2787761770385,23.317410515372,83.3302057032526,11.0566092380811,0.495403237784049,1.62172508540027,1.50194564087331,24.518283083321,31.9211347096391,71.5942559037576,7.14983662557552,0.0897742462498143,17.5255569582653,51.9438177632556
"bibb",1007,"Donald Trump","alabama",6738,8753,0.769793213755284,46.5890992744647,74.4998894001062,77.3978056981065,18430.9903114493,16.6037471244028,27.1970845867988,21.5900990975049,17.9554503627676,17.4673066713856,23.7441470536188,83.4348787825164,13.1536409485047,0.503136612988851,1.5620952043886,0.731467881790834,28.7143912581844,36.6926207750841,76.7438462219076,6.63793576358167,0.394151477614581,8.16310387542028,24.1659706246682
"bibb",1007,"Hillary Clinton","alabama",1874,8753,0.214098023534788,46.5890992744647,74.4998894001062,77.3978056981065,18430.9903114493,16.6037471244028,27.1970845867988,21.5900990975049,17.9554503627676,17.4673066713856,23.7441470536188,83.4348787825164,13.1536409485047,0.503136612988851,1.5620952043886,0.731467881790834,28.7143912581844,36.6926207750841,76.7438462219076,6.63793576358167,0.394151477614581,8.16310387542028,24.1659706246682
"blount",1009,"Donald Trump","alabama",22859,25442,0.898474962660168,50.5943510656732,87.8538537515162,73.375498180558,20532.2746664356,16.7215179345001,26.8573765378617,28.5293016808179,13.9425194940218,23.8369242765552,20.1041327326287,84.8503084387455,11.2792219719286,0.362632126147981,0.419941084734015,2.26541327326287,34.8448934326806,38.4491422630393,81.8267076763126,4.22871599376191,0.356492808871946,7.69963957719633,10.5947444117137
"blount",1009,"Hillary Clinton","alabama",2156,25442,0.0847417655844666,50.5943510656732,87.8538537515162,73.375498180558,20532.2746664356,16.7215179345001,26.8573765378617,28.5293016808179,13.9425194940218,23.8369242765552,20.1041327326287,84.8503084387455,11.2792219719286,0.362632126147981,0.419941084734015,2.26541327326287,34.8448934326806,38.4491422630393,81.8267076763126,4.22871599376191,0.356492808871946,7.69963957719633,10.5947444117137
